"bloc_r4a";"annee_univ_source";"formation";"type_formation";"specialite";"niveau";"semestre";"composante_parcours";"unite_enseignement";"ordre";"matiere_ar";"matiere_fr_source";"cm";"td";"tp";"mode_pedagogique";"modalite";"coefficient";"credits";"source_document";"page_source";"statut_source";"statut_2025_2026";"statut_2026_2027";"variante_reperee";"observation";"decision_r4a6_2026_2027";"statut_preparation_reelle"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"استكشافية";"5";"قانون التعمير وحماية البيئة";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"استكشافية";"6";"الميزانية والمحاسبة العمومية";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"أفقية";"7";"لغة أجنبية (الإنجليزية) 2";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"أفقية";"8";"الذكاء الاصطناعي";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"أساسية";"1";"السلطات الإدارية المستقلة";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"أساسية";"2";"المسؤولية الإدارية";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"أساسية";"3";"المنازعات الإدارية الخاصة";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"منهجية";"4";"منهجية إعداد مذكرة";"";"1h30";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"استكشافية";"5";"الجماعات المحلية";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"استكشافية";"6";"الشفافية ومكافحة الفساد";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"أفقية";"7";"لغة أجنبية (الإنجليزية) 3";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S3";"";"أفقية";"8";"البرمجيات الحرة والمصادر المفتوحة";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"16";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S4";"";"تخرج";"1";"ملتقى";"";"";"";"";"";"";"";"";"القانون الاداري.pdf";"17";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Volumes CM/TD non renseignés dans le tableau candidat : ne pas les inventer.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M2";"S4";"";"تخرج";"2";"مذكرة نهاية الدراسة";"";"";"";"";"";"";"";"";"القانون الاداري.pdf";"17";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Volumes CM/TD non renseignés dans le tableau candidat : ne pas les inventer.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"أساسية";"1";"القانون الدولي للمعاهدات";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"أساسية";"2";"المنظمات الدولية";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"أساسية";"3";"القانون الدولي لحقوق الانسان";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"منهجية";"4";"منهجية تحرير الوثائق القانونية والقضائية";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"استكشافية";"5";"القانون الدولي الاقتصادي";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"استكشافية";"6";"القانون الدولي في الإسلام";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"أفقية";"7";"المقاولاتية";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"أفقية";"8";"لغة أجنبية (انجليزية) 1";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S1";"";"أفقية";"9";"البرمجة";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"أساسية";"1";"المسؤولية الدولية";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"أساسية";"2";"قانون النزاعات المسلحة ومسؤولية الحماية";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"أساسية";"3";"التسوية السلمية للنزاعات الدولية";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"منهجية";"4";"أخلاقيات البحث العلمي";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"استكشافية";"5";"القانون الدولي للحدود";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"استكشافية";"6";"القانون الدولي للبحار";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"أفقية";"7";"المؤسسات الناشئة المرنة";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"أفقية";"8";"لغة أجنبية (انجليزية) 2";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M1";"S2";"";"أفقية";"9";"الذكاء الاصطناعي";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"أساسية";"1";"القضاء الدولي";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"أساسية";"2";"العدالة الجنائية الدولية";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"أساسية";"3";"القانون الدولي للبيئة";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"منهجية";"4";"منهجية إعداد مذكرة";"";"";"";"";"CM + TD";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"استكشافية";"5";"قانون العلاقات الدبلوماسية";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Intitulé retenu tel qu'il apparaît dans la source officielle. Une extraction antérieure utilisait « القانون الدبلوماسي » : variante tracée séparément.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"استكشافية";"6";"القانون الدولي للاجئين";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"أفقية";"7";"لغة أجنبية (الإنجليزية) 3";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S3";"";"أفقية";"8";"البرمجيات الحرة والمصادر المفتوحة";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S4";"";"ختامي";"1";"ملتقى";"";"";"";"";"CM";"";"";"";"القانون الدولي العام.pdf";"7";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"La fiche matière précise qu'il est enseigné sous forme de cours hebdomadaire.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5B";"2026-2027";"Master académique";"";"Droit international public";"M2";"S4";"";"ختامي";"2";"مذكرة نهاية الدراسة";"";"";"";"";"Mémoire";"";"";"";"القانون الدولي العام.pdf";"7";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Élément de fin d'études ; ne pas le traiter comme une séance CM/TD sans règle métier explicite.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"أساسية";"1";"السياسة الجنائية";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"أساسية";"2";"الجرائم الواقعة على الأشخاص";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"أساسية";"3";"التحقيق في المادة الجزائية";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"منهجية";"4";"منهجية تحرير الوثائق القانونية والقضائية (تكيف حسب التخصص)";"";"1h30";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"استكشافية";"5";"علم الإجرام";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"استكشافية";"6";"التشريع الجنائي في الإسلام";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"أفقية";"7";"المقاولاتية";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"أفقية";"8";"لغة أجنبية (الإنجليزية) 1";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S1";"";"أفقية";"9";"البرمجة";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"4";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"أساسية";"1";"الإثبات الجنائي";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"أساسية";"2";"الجرائم الواقعة على الأموال";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
